country_or_area;year;comm_code;commodity;flow;trade_usd;weight_kg;quantity_name;quantity;category
Albania;2009;010392;Swine, live except pure-bred breeding > 50 kg;Import;7571008;4367254;Number of items;131882;01_live_animals
Albania;2009;010410;Sheep, live;Import;85318;33664;Number of items;602;01_live_animals
Albania;2009;010420;Goats, live;Import;13309;5250;Number of items;175;01_live_animals
Albania;2009;010511;Fowls, live domestic < 185 grams;Import;2964868;351694;Number of items;6359495;01_live_animals
Albania;2009;010519;Poultry, live except domestic fowls, < 185 grams;Import;99146;5250;Number of items;67347;01_live_animals
Albania;2009;010591;Fowls, live domestic > 185 grams;Import;964777;1312414;Number of items;824648;01_live_animals
Albania;2009;010599;Poultry, live except domestic fowls, > 185 grams;Import;150676;127684;Number of items;125400;01_live_animals
Albania;2009;010600;Animals, live, except farm animals;Import;636568;87951;No Quantity;;01_live_animals
Albania;2009;010600;Animals, live, except farm animals;Export;520743;54176;No Quantity;;01_live_animals
Albania;2008;010119;Horses, live except pure-bred breeding;Import;7997;2800;Number of items;8;01_live_animals
Albania;2008;010210;Bovine animals, live pure-bred breeding;Import;462721;97420;Number of items;227;01_live_animals
Albania;2008;010290;Bovine animals, live, except pure-bred breeding;Import;29130831;12733299;Number of items;485180;01_live_animals
Albania;2008;010310;Swine, live pure-bred breeding;Import;565499;278505;Number of items;1028;01_live_animals
Albania;2008;010391;Swine, live except pure-bred breeding < 50 kg;Import;87175;46610;Number of items;800;01_live_animals
Albania;2008;010392;Swine, live except pure-bred breeding > 50 kg;Import;7372797;3953924;Number of items;42548;01_live_animals
Albania;2008;010511;Fowls, live domestic < 185 grams;Import;2395577;256206;Number of items;4927432;01_live_animals
Albania;2008;010519;Poultry, live except domestic fowls, < 185 grams;Import;151377;14449;Number of items;125780;01_live_animals
Albania;2008;010591;Fowls, live domestic > 185 grams;Import;419684;484490;Number of items;322000;01_live_animals
Albania;2008;010599;Poultry, live except domestic fowls, > 185 grams;Import;51562;72810;Number of items;39230;01_live_animals
Albania;2008;010600;Animals, live, except farm animals;Import;859291;112974;Number of items;109907;01_live_animals
Albania;2008;010600;Animals, live, except farm animals;Export;767554;82215;Number of items;78592;01_live_animals
Albania;2008;010600;Animals, live, except farm animals;Re-Export;603716;66820;Number of items;63999;01_live_animals
Albania;2007;010111;Horses, live pure-bred breeding;Import;97402;;No Quantity;;01_live_animals
Albania;2007;010119;Horses, live except pure-bred breeding;Import;8753;;No Quantity;;01_live_animals
Albania;2007;010210;Bovine animals, live pure-bred breeding;Import;507218;142262;Number of items;292;01_live_animals
Albania;2007;010290;Bovine animals, live, except pure-bred breeding;Import;24843875;10169863;Number of items;36544;01_live_animals
Albania;2007;010310;Swine, live pure-bred breeding;Import;277565;36285;Number of items;502;01_live_animals
Albania;2007;010391;Swine, live except pure-bred breeding < 50 kg;Import;103493;;No Quantity;;01_live_animals
Albania;2007;010392;Swine, live except pure-bred breeding > 50 kg;Import;3929743;;Number of items;23739;01_live_animals
Albania;2007;010420;Goats, live;Export;2635;935;No Quantity;;01_live_animals
Albania;2007;010511;Fowls, live domestic < 185 grams;Import;1736292;32415;No Quantity;;01_live_animals
Albania;2007;010519;Poultry, live except domestic fowls, < 185 grams;Import;82065;;No Quantity;;01_live_animals
Albania;2007;010591;Fowls, live domestic > 185 grams;Import;496567;;Number of items;231692;01_live_animals
Albania;2007;010599;Poultry, live except domestic fowls, > 185 grams;Import;27290;;Number of items;4151;01_live_animals
Albania;2007;010600;Animals, live, except farm animals;Import;543407;;No Quantity;;01_live_animals
Albania;2007;010600;Animals, live, except farm animals;Export;818676;;No Quantity;;01_live_animals
Albania;2006;010119;Horses, live except pure-bred breeding;Import;9136;1530;Number of items;5;01_live_animals
Albania;2006;010210;Bovine animals, live pure-bred breeding;Import;1075215;596367;Number of items;1062;01_live_animals
Albania;2006;010290;Bovine animals, live, except pure-bred breeding;Import;17335204;10576379;Number of items;331900;01_live_animals
Albania;2006;010391;Swine, live except pure-bred breeding < 50 kg;Import;171568;110888;Number of items;3175;01_live_animals
Albania;2006;010392;Swine, live except pure-bred breeding > 50 kg;Import;3603909;2319085;Number of items;74300;01_live_animals
Albania;2006;010410;Sheep, live;Import;2484;2500;Number of items;76;01_live_animals
Albania;2006;010420;Goats, live;Import;3755;1500;Number of items;49;01_live_animals
Albania;2006;010511;Fowls, live domestic < 185 grams;Import;937792;130418;Number of items;2330395;01_live_animals
Albania;2006;010519;Poultry, live except domestic fowls, < 185 grams;Import;18138;2029;Number of items;25710;01_live_animals
Albania;2006;010591;Fowls, live domestic > 185 grams;Import;118578;201868;Number of items;149514;01_live_animals
Albania;2006;010599;Poultry, live except domestic fowls, > 185 grams;Import;12472;14300;Number of items;17701;01_live_animals
Albania;2006;010600;Animals, live, except farm animals;Import;567152;119855;Number of items;30319;01_live_animals
Albania;2006;010600;Animals, live, except farm animals;Export;1063300;224278;Number of items;81337;01_live_animals
Albania;2006;010600;Animals, live, except farm animals;Re-Export;476744;109332;Number of items;28748;01_live_animals
Albania;2006;010600;Animals, live, except farm animals;Re-Import;546949;117200;Number of items;29400;01_live_animals
Albania;2005;010111;Horses, live pure-bred breeding;Import;18273;15400;Number of items;13506;01_live_animals
Albania;2005;010119;Horses, live except pure-bred breeding;Import;2834;400;Number of items;4;01_live_animals
Albania;2005;010210;Bovine animals, live pure-bred breeding;Import;1187125;671107;Number of items;1236;01_live_animals
Albania;2005;010290;Bovine animals, live, except pure-bred breeding;Import;6900678;4320749;Number of items;84262;01_live_animals
Albania;2005;010310;Swine, live pure-bred breeding;Import;59351;42510;Number of items;797;01_live_animals
Albania;2005;010391;Swine, live except pure-bred breeding < 50 kg;Import;89398;83995;Number of items;1779;01_live_animals
Albania;2005;010392;Swine, live except pure-bred breeding > 50 kg;Import;1398170;1770931;Number of items;45445;01_live_animals
Albania;2005;010410;Sheep, live;Import;9074;10680;Number of items;348;01_live_animals
Albania;2005;010511;Fowls, live domestic < 185 grams;Import;1272712;187566;Number of items;2804778;01_live_animals
Albania;2005;010511;Fowls, live domestic < 185 grams;Export;35714;2477;Number of items;64325;01_live_animals
Albania;2005;010519;Poultry, live except domestic fowls, < 185 grams;Import;49608;5568;Number of items;30834;01_live_animals
Albania;2005;010591;Fowls, live domestic > 185 grams;Import;110586;182879;Number of items;102187;01_live_animals
Albania;2005;010599;Poultry, live except domestic fowls, > 185 grams;Import;28726;21285;Number of items;10936;01_live_animals
Albania;2005;010600;Animals, live, except farm animals;Import;41404;21292;Number of items;4521;01_live_animals
Albania;2005;010600;Animals, live, except farm animals;Export;918970;140870;Number of items;137102;01_live_animals
